"id","year","conflict_new_id","type_of_violence","side_a","side_b","latitude","longitude","country","country_id","dyad_name","deaths_a","deaths_b","deaths_civilians"
154247,2014,333,1,"Government of Afghanistan","Taleban",34.95,71.133333,"Afghanistan",700,"Government of Afghanistan - Taleban",0,3,0
154248,2014,333,1,"Government of Afghanistan","Taleban",32.25,67.25,"Afghanistan",700,"Government of Afghanistan - Taleban",0,3,0
154249,2014,333,1,"Government of Afghanistan","Taleban",33.383334,69.883334,"Afghanistan",700,"Government of Afghanistan - Taleban",0,3,0
154250,2014,333,1,"Government of Afghanistan","Taleban",34.33333,70.41667,"Afghanistan",700,"Government of Afghanistan - Taleban",0,3,0
154251,2014,333,1,"Government of Afghanistan","Taleban",31.0,64.0,"Afghanistan",700,"Government of Afghanistan - Taleban",0,3,0
154252,2014,333,1,"Government of Afghanistan","Taleban",32.83333,66.0,"Afghanistan",700,"Government of Afghanistan - Taleban",0,3,0
154255,2014,333,1,"Government of Afghanistan","Taleban",34.900056,70.924465,"Afghanistan",700,"Government of Afghanistan - Taleban",0,1,0
154315,2014,333,1,"Government of Afghanistan","Taleban",36.368744,68.828568,"Afghanistan",700,"Government of Afghanistan - Taleban",0,3,0
154317,2014,333,1,"Government of Afghanistan","Taleban",34.428844,70.45575,"Afghanistan",700,"Government of Afghanistan - Taleban",0,0,1
154318,2014,333,1,"Government of Afghanistan","Taleban",35.483273,71.314533,"Afghanistan",700,"Government of Afghanistan - Taleban",2,4,0
154319,2014,333,1,"Government of Afghanistan","Taleban",32.465816,64.737566,"Afghanistan",700,"Government of Afghanistan - Taleban",0,2,0
154320,2014,333,1,"Government of Afghanistan","Taleban",32.120374,64.994325,"Afghanistan",700,"Government of Afghanistan - Taleban",0,2,0
154322,2014,333,1,"Government of Afghanistan","Taleban",35.9575,65.4473,"Afghanistan",700,"Government of Afghanistan - Taleban",0,2,0
154327,2014,333,1,"Government of Afghanistan","Taleban",34.33333,70.41667,"Afghanistan",700,"Government of Afghanistan - Taleban",0,1,0
